time,droneId,x,y,vx,vy
0.27,0,10.6131,10.6813,4.15218,4.61353
0.27,1,89.6594,10.6813,-2.30677,4.61353
0.27,2,10.6813,89.6594,4.61353,-2.30677
0.27,3,89.5912,89.5231,-2.76812,-3.22947
0.28,0,10.6559,10.7288,4.2799,4.75544
0.28,1,89.6356,10.7288,-2.37772,4.75544
0.28,2,10.7288,89.6356,4.75544,-2.37772
0.28,3,89.5627,89.4898,-2.85327,-3.32881
0.29,0,10.7,10.7778,4.40592,4.89546
0.29,1,89.6111,10.7778,-2.44773,4.89546
0.29,2,10.7778,89.6111,4.89546,-2.44773
0.29,3,89.5333,89.4556,-2.93728,-3.42682
0.3,0,10.7453,10.8281,4.53025,5.03361
0.3,1,89.5859,10.8281,-2.5168,5.03361
0.3,2,10.8281,89.5859,5.03361,-2.5168
0.3,3,89.5031,89.4203,-3.02016,-3.52352
0.31,0,10.7918,10.8798,4.6529,5.16989
0.31,1,89.5601,10.8798,-2.58495,5.16989
0.31,2,10.8798,89.5601,5.16989,-2.58495
0.31,3,89.4721,89.3841,-3.10193,-3.61892
0.32,0,10.8396,10.9328,4.7739,5.30433
0.32,1,89.5336,10.9328,-2.65217,5.30433
0.32,2,10.9328,89.5336,5.30433,-2.65217
0.32,3,89.4403,89.347,-3.1826,-3.71303
0.33,0,10.8885,10.9872,4.89325,5.43695
0.33,1,89.5064,10.9872,-2.71847,5.43695
0.33,2,10.9872,89.5064,5.43695,-2.71847
0.33,3,89.4077,89.3089,-3.26217,-3.80586
0.34,0,10.9386,11.0429,5.01098,5.56776
0.34,1,89.4786,11.0429,-2.78388,5.56776
0.34,2,11.0429,89.4786,5.56776,-2.78388
0.34,3,89.3743,89.27,-3.34065,-3.89743
0.35,0,10.9899,11.0999,5.1271,5.69677
0.35,1,89.4501,11.0999,-2.84839,5.69677
0.35,2,11.0999,89.4501,5.69677,-2.84839
0.35,3,89.3401,89.2301,-3.41806,-3.98774
0.36,0,11.0423,11.1581,5.24161,5.82401
0.36,1,89.4209,11.1581,-2.91201,5.82401
0.36,2,11.1581,89.4209,5.82401,-2.91201
0.36,3,89.3051,89.1893,-3.49441,-4.07681
0.37,0,11.0958,11.2176,5.35454,5.94949
0.37,1,89.3912,11.2176,-2.97475,5.94949
0.37,2,11.2176,89.3912,5.94949,-2.97475
0.37,3,89.2694,89.1477,-3.5697,-4.16464
0.38,0,11.1505,11.2783,5.4659,6.07323
0.38,1,89.3608,11.2783,-3.03661,6.07323
0.38,2,11.2783,89.3608,6.07323,-3.03661
0.38,3,89.233,89.1052,-3.64394,-4.25126
0.39,0,11.2063,11.3403,5.57571,6.19524
0.39,1,89.3299,11.3403,-3.09762,6.19524
0.39,2,11.3403,89.3299,6.19524,-3.09762
0.39,3,89.1958,89.0618,-3.71714,-4.33666
0.4,0,11.2631,11.4034,5.68398,6.31553
0.4,1,89.2983,11.4034,-3.15777,6.31553
0.4,2,11.4034,89.2983,6.31553,-3.15777
0.4,3,89.1579,89.0176,-3.78932,-4.42087
0.41,0,11.321,11.4678,5.79072,6.43413
0.41,1,89.2661,11.4678,-3.21707,6.43413
0.41,2,11.4678,89.2661,6.43413,-3.21707
0.41,3,89.1193,88.9726,-3.86048,-4.50389
0.42,0,11.38,11.5333,5.89595,6.55105
0.42,1,89.2334,11.5333,-3.27553,6.55105
0.42,2,11.5333,89.2334,6.55105,-3.27553
0.42,3,89.08,88.9267,-3.93063,-4.58574
0.43,0,11.44,11.6,5.99967,6.6663
0.43,1,89.2,11.6,-3.33315,6.6663
0.43,2,11.6,89.2,6.6663,-3.33315
0.43,3,89.04,88.88,-3.99978,-4.66641
0.44,0,11.501,11.6678,6.10192,6.77991
0.44,1,89.1661,11.6678,-3.38995,6.77991
0.44,2,11.6678,89.1661,6.77991,-3.38995
0.44,3,88.9993,88.8326,-4.06795,-4.74594
0.45,0,11.563,11.7367,6.20269,6.89188
0.45,1,89.1317,11.7367,-3.44594,6.89188
0.45,2,11.7367,89.1317,6.89188,-3.44594
0.45,3,88.958,88.7843,-4.13513,-4.82432
0.46,0,11.626,11.8067,6.30201,7.00223
0.46,1,89.0967,11.8067,-3.50112,7.00223
0.46,2,11.8067,89.0967,7.00223,-3.50112
0.46,3,88.916,88.7353,-4.20134,-4.90156
0.47,0,11.69,11.8778,6.39988,7.11098
0.47,1,89.0611,11.8778,-3.55549,7.11098
0.47,2,11.8778,89.0611,7.11098,-3.55549
0.47,3,88.8733,88.6855,-4.26659,-4.97768
0.48,0,11.755,11.95,6.49632,7.21813
0.48,1,89.025,11.95,-3.60907,7.21813
0.48,2,11.95,89.025,7.21813,-3.60907
0.48,3,88.83,88.635,-4.33088,-5.05269
0.49,0,11.8209,12.0232,6.59134,7.32372
0.49,1,88.9884,12.0232,-3.66186,7.32372
0.49,2,12.0232,88.9884,7.32372,-3.66186
0.49,3,88.7861,88.5837,-4.39423,-5.1266
0.5,0,11.8878,12.0975,6.68496,7.42774
0.5,1,88.9512,12.0975,-3.71387,7.42774
0.5,2,12.0975,88.9512,7.42774,-3.71387
0.5,3,88.7415,88.5317,-4.45664,-5.19942
0.51,0,11.9555,12.1728,6.77719,7.53022
0.51,1,88.9136,12.1728,-3.76511,7.53022
0.51,2,12.1728,88.9136,7.53022,-3.76511
0.51,3,88.6963,88.479,-4.51813,-5.27115
0.52,0,12.0242,12.2491,6.86805,7.63116
0.52,1,88.8754,12.2491,-3.81558,7.63116
0.52,2,12.2491,88.8754,7.63116,-3.81558
0.52,3,88.6505,88.4256,-4.5787,-5.34181
0.53,0,12.0938,12.3264,6.95753,7.73059
